Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Rasbhari,,,130.05,1.52,1.92,,0.02,28.27,Indian Dishes,27.84,16.65,62.58,0.13,2.69,10.2
Rajbogh,,,133.7,1.71,2.28,,0.11,28.16,Indian Dishes,27.66,16.57,63.23,0.17,2.69,12.02
Rasgulla,,,118.64,1.38,1.75,,0.01,25.79,Indian Dishes,25.4,15.19,57.09,0.12,2.69,10.2
Rasmalai,,,135.55,1.61,2.11,,0.07,29.17,Indian Dishes,28.71,16.46,62.31,0.15,2.69,11.29
Khoa coconut burfi,,,411.45,9.98,26.01,,4.07,36.55,Indian Dishes,35.6,31.14,309.84,2.1,0.0,26.6
Danedar burfi,,,102.68,3.24,4.72,,0.09,12.33,Indian Dishes,11.98,23.31,107.53,0.24,3.36,9.75
Semolina burfi (Suji/Rava burfi),,,348.67,3.47,16.86,,2.8,47.1,Indian Dishes,28.67,8.33,14.86,1.01,0.0,3.21
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),,,186.18,1.75,12.66,,4.29,17.02,Indian Dishes,16.11,8.95,21.76,0.79,3.02,11.48
Khoa ladoo,,,396.02,12.21,24.09,,3.08,34.43,Indian Dishes,33.37,31.71,358.61,2.25,0.02,27.31
Wheat and gram flour ladoo (Atta besan ladoo),,,501.7,9.38,29.86,,6.01,50.5,Indian Dishes,18.46,27.06,35.27,2.39,0.0,14.55
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),,,441.84,5.44,25.45,,4.27,48.02,Indian Dishes,19.79,3.93,18.04,1.81,0.03,4.01
Sesame chickpeas brittle (Til aur channe ki chikki),,,282.74,8.5,4.66,,5.54,50.49,Indian Dishes,36.48,17.93,150.73,4.8,0.0,23.64
Murmura chikki,,,253.82,2.12,0.32,,0.37,59.59,Indian Dishes,48.27,15.03,63.3,3.3,0.0,2.16
Masala onion pakora/pakoda (Pyaaz ke pakode),,,551.64,2.05,57.61,,1.44,6.48,Indian Dishes,1.58,99.22,11.06,0.42,1.18,14.65
Masala green chilli pakora/pakoda (Hari mirch kay pakode),,,668.76,2.22,71.01,,1.34,5.55,Indian Dishes,0.27,120.9,8.58,0.47,3.84,12.67
Chicken pakora/pakoda,,,590.09,6.03,60.98,,0.96,4.55,Indian Dishes,0.22,103.23,9.08,0.51,0.14,11.46
Fish pakora/pakoda,,,577.03,5.97,59.52,,0.96,4.55,Indian Dishes,0.22,112.24,12.65,0.63,0.14,11.02
Paneer cutlet,,,672.2,4.59,69.38,,0.39,7.62,Indian Dishes,2.52,91.45,107.86,0.48,1.81,38.34
Sago cutlet/vadas (Sabudana cutlet/vadas),,,558.76,0.56,56.97,,0.54,11.23,Indian Dishes,0.1,48.17,5.43,0.38,13.39,9.09
Poshtik cutlet,,,496.45,2.0,50.94,,1.35,7.39,Indian Dishes,0.32,57.11,14.94,0.69,16.42,43.66
Egg cutlet (Anda cutlet),,,575.02,2.45,60.25,,0.58,5.77,Indian Dishes,0.2,79.4,16.22,0.56,11.07,22.05
Minced meat cutlet,,,531.86,5.1,54.47,,0.4,5.61,Indian Dishes,0.31,95.81,20.82,0.63,1.81,8.86
